al_geo_id	al_vote_id	countyfp10	vap	statefp10	vtdst10	ctyvtd	geo_old	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	name	pop100	al_agg	fraction	v24	precinct	tot08	usp_d_08	usp_r_08	usp_tot	uss_d_08	uss_r_08	uss_tot	ush_d_08_1	ush_r_08_1	ush_tot__1_	tot06	ush_d_06_1	ush_r_06_1	gov_d_06	gov_r_06	ltgov_d_06	ltgov_r_06	ag_d_06	ag_r_06	sos_d_06	sos_r_06	treas_d_06	treas_r_06	audit_d_06	audit_r_06	ush_d_08	ush_d_06	ush_r_08	ush_r_06	p_08	s_08	h_08	g_06	a_06	h_06	l_06	y_06	t_06	d_06	av	ndv	nrv
11	"4"	1	1189	1	"90"	"1 90"	"10010090"	"010010090"	"A"	"Booth Volunteer Fire Department"	"Booth Volunteer Fire Department"	0	"G5240"	"N"	77476110	634185	32.49455	-86.5722	"Booth Volunteer Fire Department"	1589	"1189"	"1"	"NA"	"BOOTH VOLUNTEER FIRE"	636.0	169.0	461.0	633.0	154.0	466.0	620.0	273.0	351.0	625.0	374.0	110.0	256.0	139.0	229.0	171.0	198.0	139.0	229.0	123.0	245.0	110.0	254.0	131.0	222.0	273.0	110.0	351.0	256.0	0.26825398	0.2483871	0.4375	0.3777174	0.3777174	0.30054644	0.46341464	0.33423913	0.3021978	0.3711048	0.34810787	219.30795	410.69205
12	"8"	1	3223	1	"20"	"1 20"	"10010020"	"010010020"	"A"	"Church of the Living Water"	"Church of the Living Water"	0	"G5240"	"N"	7316583	0	32.449104	-86.42549	"Church of the Living Water"	4313	"3223"	"1"	"NA"	"Church of the Living Water 1, Church of the Living Water 2"	2147.0	326.0	1798.0	2142.0	267.0	1842.0	2110.0	705.0	1401.0	2109.0	1832.0	331.0	1455.0	469.0	1334.0	620.0	1165.0	475.0	1320.0	363.0	1401.0	334.0	1429.0	434.0	1266.0	705.0	331.0	1401.0	1455.0	0.15348399	0.12660028	0.33475783	0.26012203	0.26462397	0.18533035	0.34733894	0.20578231	0.1894498	0.2552941	0.23227836	493.35922	1630.6407
13	"13"	1	1438	1	"180"	"1 180"	"10010180"	"010010180"	"A"	"Old Kingston Vote Site"	"Old Kingston Vote Site"	0	"G5240"	"N"	87141025	181495	32.559216	-86.61136	"Old Kingston Vote Site"	1936	"1438"	"1"	"NA"	"OLD KINGSTON VOTING SITE"	753.0	402.0	347.0	752.0	368.0	363.0	733.0	444.0	296.0	741.0	452.0	240.0	202.0	277.0	172.0	316.0	134.0	251.0	194.0	268.0	174.0	244.0	199.0	268.0	166.0	444.0	240.0	296.0	202.0	0.5367156	0.50342	0.6	0.6169265	0.56404495	0.54298645	0.7022222	0.60633487	0.5507901	0.6175115	0.58409524	437.4873	311.5127
14	"14"	1	3702	1	"70"	"1 70"	"10010070"	"010010070"	"A"	"Pine Level Fire Station"	"Pine Level Fire Station"	0	"G5240"	"N"	124450896	189165	32.586468	-86.47335	"Pine Level Fire Station"	5203	"3702"	"1"	"NA"	"PINE LEVEL FIRE STATION 1, PINE LEVEL FIRE STATION 2"	2308.0	298.0	1984.0	2302.0	254.0	2019.0	2276.0	687.0	1593.0	2282.0	1314.0	169.0	1118.0	306.0	979.0	464.0	823.0	289.0	1011.0	209.0	1057.0	172.0	1101.0	233.0	979.0	687.0	169.0	1593.0	1118.0	0.1305872	0.11174659	0.30131578	0.2381323	0.2223077	0.13131313	0.36052835	0.1650869	0.13511391	0.19224422	0.19883761	453.74744	1828.2526
15	"3"	1	755	1	"30"	"1 30"	"10010030"	"010010030"	"A"	"Billingsley Government Center"	"Billingsley Government Center"	0	"G5240"	"N"	98988764	174137	32.651707	-86.6833	"Billingsley Government Center"	1053	"755"	"1"	"NA"	"BILLINGSLEY GOVERNMENT CENTER"	406.0	46.0	359.0	406.0	44.0	358.0	402.0	133.0	267.0	400.0	258.0	39.0	210.0	63.0	192.0	91.0	162.0	59.0	192.0	55.0	192.0	44.0	202.0	54.0	169.0	133.0	39.0	267.0	210.0	0.11358025	0.10945274	0.3325	0.24705882	0.23505977	0.15662651	0.35968378	0.22267206	0.17886178	0.24215247	0.21976481	89.00475	315.99524
16	"27"	1	844	1	"50"	"1 50"	"10010050"	"010010050"	"A"	"White City Fire Station"	"White City Fire Station"	0	"G5240"	"N"	108431130	117243	32.649887	-86.59372	"White City Fire Station"	1108	"844"	"1"	"NA"	"WHITE CITY FIRE"	449.0	132.0	317.0	449.0	128.0	312.0	442.0	200.0	241.0	441.0	233.0	47.0	182.0	67.0	164.0	91.0	142.0	52.0	180.0	68.0	157.0	48.0	175.0	63.0	149.0	200.0	47.0	241.0	182.0	0.29398665	0.29090908	0.45351472	0.2900433	0.22413793	0.20524018	0.39055794	0.30222222	0.21524663	0.2971698	0.29630286	133.03998	315.96002
17	"12"	1	1360	1	"60"	"1 60"	"10010060"	"010010060"	"A"	"Marbury Community Center"	"Marbury Community Center"	0	"G5240"	"N"	97216960	239731	32.67281	-86.48758	"Marbury Community Center"	1887	"1360"	"1"	"NA"	"MARBURY COMMUNITY CENTER"	654.0	106.0	538.0	652.0	98.0	543.0	643.0	230.0	412.0	645.0	441.0	118.0	312.0	145.0	282.0	191.0	238.0	152.0	278.0	143.0	280.0	133.0	290.0	147.0	257.0	230.0	118.0	412.0	312.0	0.16459627	0.15288611	0.35825545	0.33957845	0.3534884	0.2744186	0.44522145	0.33806145	0.3144208	0.36386138	0.31047884	199.94836	444.05164
18	"93"	3	282	1	"20"	"3 20"	"10030020"	"010030020"	"A"	"Tensaw Volunteer Fire Dept"	"Tensaw Volunteer Fire Dept"	0	"G5240"	"N"	211693522	22163692	31.166538	-87.90295	"Tensaw Volunteer Fire Dept"	362	"282"	"1"	"NA"	"TENSAW VOLUNTEER FIRE DEPARTMENT"		120.0	29.0	149.0	115.0	30.0	145.0	0.0	43.0	44.0	78.0	46.0	30.0	52.0	25.0	61.0	16.0	66.0	11.0	53.0	23.0	45.0	31.0	53.0	22.0	0.0	46.0	43.0	30.0	0.80536914	0.79310346	0.0	0.6753247	0.85714287	0.6052632	0.7922078	0.69736844	0.59210527	0.70666665	0.72495013	108.01757	40.982426
19	"56"	3	253	1	"10"	"3 10"	"10030010"	"010030010"	"A"	"Little River Ferguson Store"	"Little River Ferguson Store"	0	"G5240"	"N"	253635506	4047442	31.22091	-87.72793	"Little River Ferguson Store"	309	"253"	"1"	"NA"	"FERGUSON STORE LITTLE RIVER"		53.0	101.0	155.0	48.0	106.0	154.0	0.0	109.0	110.0	99.0	28.0	68.0	31.0	67.0	46.0	52.0	55.0	43.0	39.0	55.0	37.0	57.0	38.0	54.0	0.0	28.0	109.0	68.0	0.34415585	0.3116883	0.0	0.31632653	0.56122446	0.29166666	0.46938777	0.41489363	0.39361703	0.41304347	0.39066708	60.16273	93.83727
20	"82"	3	1442	1	"042B"	"3 042B"	"01003042B"	"01003042B"	"A"	"Point Clear St. Francis Church"	"Point Clear St. Francis Church"	0	"G5240"	"N"	14826414	22942222	30.483868	-87.93505	"Point Clear St. Francis Church"	1804	"1442"	"1"	"NA"	"PT CLEAR ST FRANCIS"		310.0	548.0	867.0	280.0	578.0	859.0	0.0	608.0	614.0	513.0	122.0	386.0	129.0	380.0	148.0	361.0	224.0	283.0	142.0	351.0	133.0	364.0	140.0	352.0	0.0	122.0	608.0	386.0	0.36130536	0.32634032	0.0	0.25343812	0.4418146	0.24015749	0.2907662	0.28803244	0.26760563	0.28455284	0.30600145	262.54926	595.45074
21	"68"	3	307	1	"110"	"3 110"	"10030110"	"010030110"	"A"	"Lottie Fire Department"	"Lottie Fire Department"	0	"G5240"	"N"	150045218	88478	31.110863	-87.69129	"Lottie Fire Department"	428	"307"	"1"	"NA"	"LOTTIE FIRE DEPARTMENT"		18.0	120.0	141.0	14.0	128.0	142.0	0.0	129.0	130.0	95.0	29.0	66.0	43.0	52.0	46.0	49.0	47.0	48.0	37.0	52.0	30.0	62.0	34.0	56.0	0.0	29.0	129.0	66.0	0.13043478	0.09859155	0.0	0.4526316	0.49473685	0.30526316	0.48421052	0.41573033	0.32608697	0.37777779	0.3428293	47.31044	90.68956
22	"83"	3	878	1	"130"	"3 130"	"10030130"	"010030130"	"A"	"Rabun Fire House"	"Rabun Fire House"	0	"G5240"	"N"	132246545	211633	31.0027	-87.72353	"Rabun Fire House"	1229	"878"	"1"	"NA"	"RABUN FIRE HOUSE"		59.0	420.0	484.0	58.0	418.0	477.0	0.0	425.0	431.0	237.0	45.0	189.0	71.0	161.0	102.0	133.0	112.0	123.0	84.0	137.0	62.0	159.0	70.0	141.0	0.0	45.0	425.0	189.0	0.12317328	0.12184874	0.0	0.30603448	0.47659576	0.1923077	0.43404254	0.3800905	0.280543	0.33175355	0.29404327	140.84673	338.15326
23	"91"	3	559	1	"120"	"3 120"	"10030120"	"010030120"	"A"	"Stockton Fire House"	"Stockton Fire House"	0	"G5240"	"N"	125631718	467359	31.035494	-87.82363	"Stockton Fire House"	671	"559"	"1"	"NA"	"STOCKTON FIRE HOUSE"		38.0	379.0	417.0	31.0	381.0	413.0	0.0	376.0	379.0	278.0	41.0	232.0	59.0	213.0	82.0	190.0	95.0	176.0	58.0	204.0	44.0	224.0	55.0	206.0	0.0	41.0	376.0	232.0	0.0911271	0.07524272	0.0	0.21691176	0.3505535	0.15018316	0.30147058	0.22137405	0.1641791	0.21072797	0.19797444	82.55534	334.44467
24	"94"	3	608	1	"30"	"3 30"	"10030030"	"010030030"	"A"	"Vaughn Community Center"	"Vaughn Community Center"	0	"G5240"	"N"	97474447	10442905	30.970865	-87.90495	"Vaughn Community Center"	805	"608"	"1"	"NA"	"VAUGHN COMMUNITY CENTER"		243.0	143.0	387.0	230.0	149.0	379.0	0.0	183.0	188.0	257.0	121.0	130.0	132.0	120.0	158.0	94.0	169.0	85.0	143.0	102.0	133.0	112.0	141.0	101.0	0.0	121.0	183.0	130.0	0.6295337	0.60686016	0.0	0.52380955	0.6653543	0.48207173	0.6269841	0.5836735	0.54285717	0.58264464	0.5826432	224.90027	161.09973
25	"30"	3	6950	1	"150"	"3 150"	"10030150"	"010030150"	"A"	"Bay Minette City Hall & Civic Center"	"Bay Minette City Hall & Civic Center"	0	"G5240"	"N"	244215115	2884666	30.90782	-87.76225	"Bay Minette City Hall & Civic Center"	9131	"6950"	"1"	"NA"	"BAY MINETTE CITY HALL CIVIC 1, BAY MINETTE CITY HALL CIVIC 2, BAY MINETTE CITY HALL CIVIC 3"		840.0	2725.0	3594.0	763.0	2787.0	3553.0	0.0	2915.0	2963.0	661.0	135.0	518.0	171.0	481.0	230.0	423.0	277.0	373.0	173.0	459.0	138.0	490.0	167.0	441.0	0.0	135.0	2915.0	518.0	0.23562412	0.21492958	0.0	0.26226994	0.42615384	0.20673813	0.35222054	0.27373418	0.21974522	0.27467105	0.27400962	976.8443	2588.1558
26	"80"	3	1179	1	"140"	"3 140"	"10030140"	"010030140"	"A"	"Perdido Elementary School"	"Perdido Elementary School"	0	"G5240"	"N"	116758801	212326	30.949697	-87.647385	"Perdido Elementary School"	1583	"1179"	"1"	"NA"	"PRDIDO ELEMENTARY SCH"		105.0	459.0	571.0	104.0	451.0	555.0	0.0	469.0	474.0	280.0	58.0	215.0	85.0	191.0	110.0	165.0	124.0	154.0	79.0	188.0	72.0	191.0	79.0	177.0	0.0	58.0	469.0	215.0	0.18617022	0.18738739	0.0	0.307971	0.44604316	0.21245421	0.4	0.29588014	0.27376425	0.30859375	0.29091823	164.07788	399.92212
27	"79"	3	1849	1	"160"	"3 160"	"10030160"	"010030160"	"A"	"Pine Grove Volunteer Fire Dept. #1"	"Pine Grove Volunteer Fire Dept. #1"	0	"G5240"	"N"	124356419	111583	30.806702	-87.720665	"Pine Grove Volunteer Fire Dept. #1"	2510	"1849"	"1"	"NA"	"PINE GROVE VOLUNTEER FIRE DEPARTMENT 1"		197.0	667.0	875.0	183.0	680.0	864.0	0.0	704.0	712.0	481.0	106.0	374.0	135.0	342.0	185.0	293.0	236.0	239.0	157.0	301.0	124.0	336.0	149.0	303.0	0.0	106.0	704.0	374.0	0.22800925	0.21205099	0.0	0.28301886	0.49684212	0.22083333	0.3870293	0.34279475	0.26956522	0.32964602	0.30775443	265.8998	598.10016
28	"45"	3	1341	1	"50"	"3 50"	"10030050"	"010030050"	"A"	"Bay Minette Douglasville Community Center"	"Bay Minette Douglasville Community Center"	0	"G5240"	"N"	9287642	0	30.854351	-87.79012	"Bay Minette Douglasville Community Center"	1715	"1341"	"1"	"NA"	"DOUGLASVILLE COMMUNITY CENTER"		480.0	30.0	512.0	464.0	37.0	501.0	0.0	131.0	143.0	197.0	138.0	53.0	138.0	52.0	169.0	23.0	160.0	31.0	164.0	26.0	153.0	33.0	159.0	26.0	0.0	138.0	131.0	53.0	0.9411765	0.9261477	0.0	0.7263158	0.8376963	0.7225131	0.8802083	0.86315787	0.82258064	0.85945946	0.84213954	429.49115	80.50884
29	"37"	3	907	1	"40"	"3 40"	"10030040"	"010030040"	"A"	"Crossroads Durant Chapel Church"	"Crossroads Durant Chapel Church"	0	"G5240"	"N"	115273754	16700642	30.87267	-87.90723	"Crossroads Durant Chapel Church"	1143	"907"	"1"	"NA"	"CROSSROADS DURANT CHAPEL"		150.0	369.0	521.0	145.0	364.0	510.0	0.0	401.0	407.0	240.0	48.0	186.0	72.0	163.0	86.0	147.0	107.0	127.0	73.0	154.0	54.0	173.0	71.0	151.0	0.0	48.0	401.0	186.0	0.28901735	0.2848723	0.0	0.30638298	0.45726496	0.20512821	0.36909872	0.3215859	0.23788546	0.3198198	0.3101173	160.95088	358.04913
30	"90"	3	1451	1	"180"	"3 180"	"10030180"	"010030180"	"A"	"Stapleton Community Hall"	"Stapleton Community Hall"	0	"G5240"	"N"	110175023	954955	30.734575	-87.76095	"Stapleton Community Hall"	1935	"1451"	"1"	"NA"	"STAPLETON COMMUNITY CENTER"		110.0	760.0	874.0	94.0	770.0	866.0	0.0	778.0	791.0	465.0	65.0	389.0	99.0	353.0	131.0	328.0	167.0	291.0	99.0	343.0	76.0	362.0	90.0	335.0	0.0	65.0	778.0	389.0	0.12643678	0.1087963	0.0	0.21902655	0.36462882	0.1431718	0.28540304	0.2239819	0.17351598	0.21176471	0.20630288	179.4835	690.5165
31	"95"	3	1379	1	"170"	"3 170"	"10030170"	"010030170"	"A"	"White House Fork Vol. Fire Dept."	"White House Fork Vol. Fire Dept."	0	"G5240"	"N"	52815478	32380	30.825151	-87.81884	"White House Fork Vol. Fire Dept."	1836	"1379"	"1"	"NA"	"WHITE HOUSE VOLUNTEER FIRE"		129.0	645.0	775.0	112.0	654.0	767.0	0.0	665.0	668.0	426.0	83.0	337.0	101.0	320.0	162.0	256.0	187.0	236.0	123.0	278.0	91.0	309.0	107.0	279.0	0.0	83.0	665.0	337.0	0.16666667	0.1462141	0.0	0.23990498	0.44208038	0.19761905	0.3875598	0.30673316	0.2275	0.27720207	0.26572004	205.6673	568.3327
32	"35"	3	946	1	"60"	"3 60"	"10030060"	"010030060"	"A"	"Bromley Crossroads Vol. Fire Dept. Substation"	"Bromley Crossroads Vol. Fire Dept. Substation"	0	"G5240"	"N"	114770658	30190966	30.75448	-87.948326	"Bromley Crossroads Vol. Fire Dept. Substation"	1274	"946"	"1"	"NA"	"BROMLEY CROSSROADS VOLUNTEER FIRE"		210.0	382.0	596.0	199.0	387.0	586.0	0.0	424.0	430.0	296.0	95.0	199.0	108.0	187.0	116.0	173.0	152.0	142.0	113.0	172.0	96.0	188.0	106.0	173.0	0.0	95.0	424.0	199.0	0.35472974	0.33959043	0.0	0.36610168	0.5170068	0.32312927	0.4013841	0.39649123	0.33802816	0.37992832	0.37959886	224.72252	367.27747
33	"34"	3	2338	1	"220"	"3 220"	"10030220"	"010030220"	"A"	"Rosinton United Methodist Church"	"Rosinton United Methodist Church"	0	"G5240"	"N"	140139443	1283935	30.63016	-87.65224	"Rosinton United Methodist Church"	3089	"2338"	"1"	"NA"	"BOSINTON UNITED METHODIST CHURCH"		153.0	987.0	1149.0	145.0	990.0	1137.0	0.0	1017.0	1029.0	651.0	79.0	569.0	104.0	539.0	172.0	474.0	193.0	449.0	122.0	494.0	92.0	526.0	109.0	492.0	0.0	79.0	1017.0	569.0	0.13421053	0.1277533	0.0	0.16174184	0.30062306	0.12191358	0.26625386	0.19805194	0.14886731	0.18136439	0.18230887	207.8321	932.1679
34	"70"	3	1965	1	"90"	"3 90"	"10030090"	"010030090"	"A"	"Loxley Town Hall"	"Loxley Town Hall"	0	"G5240"	"N"	56802639	168735	30.636677	-87.74703	"Loxley Town Hall"	2606	"1965"	"1"	"NA"	"LXLEY ELLISVILLE COMMUNITY CENTER"		202.0	233.0	439.0	200.0	234.0	434.0	0.0	248.0	252.0	208.0	76.0	126.0	81.0	121.0	93.0	111.0	106.0	97.0	87.0	113.0	77.0	125.0	85.0	116.0	0.0	76.0	248.0	126.0	0.4643678	0.4608295	0.0	0.4009901	0.5221675	0.37623763	0.45588234	0.435	0.38118812	0.42288557	0.4355054	189.44485	245.55515
35	"86"	3	4941	1	"007A"	"3 007A"	"01003007A"	"01003007A"	"A"	"Rockwell Elementary School"	"Rockwell Elementary School"	0	"G5240"	"N"	59827687	75565	30.668484	-87.82893	"Rockwell Elementary School"	6805	"4941"	"1"	"NA"	"ROCKWELL ELEMENTARY SCH"		546.0	1802.0	2371.0	472.0	1871.0	2347.0	0.0	1954.0	1978.0	1072.0	234.0	828.0	238.0	815.0	309.0	747.0	424.0	636.0	262.0	773.0	219.0	813.0	253.0	761.0	0.0	234.0	1954.0	828.0	0.23253833	0.20145114	0.0	0.22602089	0.4	0.22033899	0.29261363	0.2531401	0.2122093	0.2495069	0.25420213	596.86664	1751.1334
36	"61"	3	351	1	"190"	"3 190"	"10030190"	"010030190"	"A"	"Gateswood Fire Station"	"Gateswood Fire Station"	0	"G5240"	"N"	287634012	833766	30.720177	-87.59158	"Gateswood Fire Station"	458	"351"	"1"	"NA"	"GATESWOOD FIRE STA"		27.0	168.0	198.0	23.0	175.0	198.0	0.0	182.0	183.0	134.0	19.0	115.0	26.0	108.0	48.0	85.0	54.0	79.0	42.0	84.0	37.0	92.0	37.0	85.0	0.0	19.0	182.0	115.0	0.13846155	0.116161615	0.0	0.19402985	0.40601504	0.14179105	0.36090225	0.33333334	0.2868217	0.30327868	0.25342166	49.417225	145.58278
37	"36"	3	217	1	"210"	"3 210"	"10030210"	"010030210"	"A"	"Clear Springs Fellowship Hall"	"Clear Springs Fellowship Hall"	0	"G5240"	"N"	142971471	1195638	30.63582	-87.45821	"Clear Springs Fellowship Hall"	268	"217"	"1"	"NA"	"CLEARSPRINGS FELLOWSHIP HALL"		8.0	110.0	119.0	11.0	105.0	117.0	0.0	105.0	108.0	66.0	6.0	60.0	11.0	54.0	20.0	46.0	20.0	45.0	13.0	48.0	9.0	54.0	11.0	50.0	0.0	6.0	105.0	60.0	0.06779661	0.094827585	0.0	0.16923077	0.30769232	0.09090909	0.3030303	0.21311475	0.14285715	0.18032786	0.17442071	20.581644	97.41836
38	"87"	3	1031	1	"270"	"3 270"	"10030270"	"010030270"	"A"	"Seminole Fire House"	"Seminole Fire House"	0	"G5240"	"N"	63691783	2179835	30.542883	-87.46941	"Seminole Fire House"	1305	"1031"	"1"	"NA"	"SEMINOLE FIRE HOUSE"		83.0	420.0	506.0	67.0	416.0	483.0	0.0	416.0	421.0	273.0	50.0	218.0	56.0	213.0	77.0	191.0	70.0	198.0	74.0	191.0	55.0	207.0	58.0	201.0	0.0	50.0	416.0	218.0	0.16500995	0.13871635	0.0	0.20817845	0.26119402	0.18656716	0.28731343	0.2792453	0.20992367	0.22393823	0.2177874	109.54706	393.45294
